,poolID,liquidity,FeeTier,sqrtPrice,t0id,t0symbol,t0decimals,t1id,t1symbol,t1decimals,feeGrowthGlobal0X128,feeGrowthGlobal1X128,token0Price,token1Price,tick,observationIndex,volumeToken0,volumeToken1,volumeUSD,untrackedVolumeUSD,feesUSD,txCount,collectedFeesToken0,collectedFeesToken1,collectedFeesUSD,liquidityProviderCount,totalValueLockedUSD,totalValueLockedETH,totalValueLockedToken0,totalValueLockedToken1
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,28663472316583101651,500,1181996023427878107173697010756912,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,856472368849611700013579575850156,300573661188552044752163234370449973142248,4492.903973722336139817396358081775,0.0002225731967228108251964251039407573,192217,0,71586667458.22555,22790977.48930097016583706,71597177346.65021445383324126456773,71597177346.65021445383324126456774,35798588.67332510722691662063228098,933215,0,0,0,0,241909638.4316217192819366800755764,53793.04889374327827626682253310853,150799125.236233,20260.095144737021203283
1,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,25552676560255068953,3000,1181451988445256395257180087244006,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,1395139624779287043417628147863368,500443935040521409878717988096078483345648,4497.042711028756432963334831737877,0.0002223683572200801094954141015518384,192208,0,34183768570.28325,12296413.046321103106278142,34185855424.63299328995295863315147,34185855424.63299328995295863315147,102557566.2738989798698588758994488,236236,0,0,0,0,365527239.0697832858773244381426016,81281.6916711391924246362517644589,177345040.597908,41845.766332253976874224
2,0x11b815efb8f581194ae79006d24e0d814b7697f6,5581609945682913721,500,5309339053629201934506846,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,315290534463810275768356862561870640379843,903480617096259827172282572929596,0.0002226784794396505061599120355562459,4490.779722029745057477932170734557,-192223,0,5863920.278809513345889597,19268002385.56759,19288174277.00706110085580245650103,19288174277.00706110085580245650103,9644087.138503530550427901228250264,578688,0,0,0,0,49989849.53766340184832190084214166,11116.16071936919184795034177688654,5678.040167608077153279,24455460.388993
3,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,11724290573693974045,3000,5313718730548565276876853,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,446719277572999397296535406166761659039937,1253437545329563859389086487934118,0.0002223115582939809432993457260548537,4498.191671517219852627307011820254,-192206,0,5440981.637432978130216267,15533887029.498129,15541287041.82848269829099103723957,15541287041.82848269829099103723957,46623861.1254854480948729731117181,159273,0,0,0,0,162684599.010288949417274658459723,36175.90702692542414057740178367745,15474.27901250790774404,93096105.368665
4,0x60594a405d53811d3bc4766596efd80fd545a270,9804472347721551247036244,500,1181563699497633825956291875,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,709840343100059417706210221989291592461,250731374454447885326616137051829006,4496.192404564925938171580829272693,0.0002224104108589109635412308248561629,-84115,0,11659584605.282135795114384122,3537820.206076179669220601,11672134095.28537861667998300100334,11672134095.28537861667998300100334,5836067.047642689308339991500501526,242166,0,0,0,0,72347243.44136783986108662007624291,16087.73767345818164081655385601722,34428859.393904085030452091,8431.848769074607291794
5,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,448079395451388023,500,28682118325593777648076107112214427,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,10927880260974433877178686905947,1648175148638974028213415500601087948820363,0.07630214047979173019836923531976382,13.10579223219623026686044450947508,256001,0,177292.43131563,2646011.076241332682669021,8724386902.974794898225873529082503,8724386902.974794898225873529082503,4362193.451487397449112936764541231,126908,0,0,0,0,134447336.2534626060467349207795714,29896.83329529819975157951781051501,1852.31162539,5567.718521219859762196
6,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,41250888075494814,500,79206727388333320452304291145,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,6483194477233662513371529917426143,6434776503723800807132732543414104,1.000541318321107987880394236788749,0.9994589745458825116851091465243249,-6,0,8214443517.03747,8212112111.53422,8215380811.976556256858052891858018,8215380811.976556256858052891858018,4107690.405988278128429026445928982,150189,0,0,0,0,43499721.958909,9672.961711532839414249761913108678,30214397.632487,13285324.326422
7,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,729986427928043842,3000,28713472070903891740783835093760990,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,15029476083217001052661155075999,2205960302611367744150347118245566711815019,0.0761355948455453465282785863607251,13.134460984099206420293792253558,256023,0,178098.04885641,2612953.949779157683435614,7744681391.523291566822007600124116,7744681391.523291566822007600124116,23234044.17456987470046602280037232,69676,0,0,0,0,356259058.6928787477943635226828825,78911.27549027064985018116944107979,3939.33282741,27170.262165272791970588
8,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,11204145478178177163966540,3000,1180767251658773170307539925,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,1219310162870538532440254882124932738016,434799588063736717455823273096690540,4502.259968576263533717168625274801,0.0002221106748565270137752455674248226,-84128,0,5299908287.727901968368886754,1706716.979176597353860297,5303652085.680944575957543265057197,5303652085.680944575957543265057197,15910956.25704283372787262979517186,80955,0,0,0,0,89286293.32032606420972691748503734,19854.44636791111881297049897282327,38936174.364263803008882175,11196.273238095179905894
9,0x6c6bc977e13df9b0de53b251522280bb72383700,305829924235609968568678,500,79230990207864323799723,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,9534659496495272113970995475226953587527,9552070825701344122130317487,0.9999286227994007754906813277264575,1.000071382295667661613156262345627,-276324,0,5145076062.704511823357797361,5148387225.795276,5147868281.102553714698900043952727,5147868281.102553714698900043952727,2573934.140551276857349450021976294,90821,0,0,0,0,265536238.986115134462638452,59224.03636838764282330246000424448,160850389.413773134462638452,104685849.572342
