,Close,High,Low,Open,psUnix
0,118520.5871902123941013363962092179,119934.1837272841982411244122307604,0,0,1620241200
1,116249.0032378721964425961946746656,118872.4956255611379373228866154195,116249.0032378721964425961946746656,118872.4956255611379373228866154195,1620244800
2,118131.9299454249800498154480215094,118131.9299454249800498154480215094,114675.9303677695691779059350602325,116249.0032378721964425961946746656,1620248400
3,121111.7605442481609397421835457925,121111.7605442481609397421835457925,118131.9299454249800498154480215094,118131.9299454249800498154480215094,1620252000
4,121250.9539807170832601002634090349,121515.9187490614738164806970344949,121201.462468575685361045377263678,121515.9187490614738164806970344949,1620255600
5,120905.3987140624124706943099022038,121250.9539807170832601002634090349,120905.3987140624124706943099022038,121250.9539807170832601002634090349,1620259200
6,130622.6183514963453329841977274812,134081.6536003804774143024409727358,121281.1816159986328795709056479831,121281.1816159986328795709056479831,1620262800
7,128570.7326190806983804931176075927,129689.5962364112276761245633854196,128570.7326190806983804931176075927,129689.5962364112276761245633854196,1620266400
8,126584.3733668873660688580136626769,126584.3733668873660688580136626769,126584.3733668873660688580136626769,126584.3733668873660688580136626769,1620270000
9,126029.3990195247760282109917117384,126029.3990195247760282109917117384,126029.3990195247760282109917117384,126029.3990195247760282109917117384,1620273600
10,123992.2690383929780162862150329485,128370.9425733444631657207623601155,123992.2690383929780162862150329485,128370.9425733444631657207623601155,1620277200
11,124548.0906896685269908792697695224,124761.130668555541480773056380196,124548.0906896685269908792697695224,124728.6384916927331699783711259062,1620280800
12,124157.6852543195344397348543526456,124548.0906896685269908792697695224,124157.6852543195344397348543526456,124548.0906896685269908792697695224,1620284400
13,124125.9234063138511109341707887517,124201.6523371227623765480886991107,124125.9234063138511109341707887517,124201.6523371227623765480886991107,1620288000
14,124164.7879929497390710353543817054,124164.7879929497390710353543817054,123989.5349581862528515852591179972,124116.1959391492820930252522167664,1620291600
15,125261.2511774371536543338229221465,125285.669246584756332464294753652,124164.7879929497390710353543817054,124164.7879929497390710353543817054,1620295200
16,127746.3732258829172260314329717596,128860.9211690552913372087275907441,125674.8980534230907595811364918947,125674.8980534230907595811364918947,1620298800
